Kit ID,Borough,Zipcode,Date Collected,Date Recieved,Lead First Draw (mg/L),Lead 1-2 Minute Flush (mg/L),Lead 5 Minute Flush (mg/L),Copper First Draw (mg/L),Copper 1-2 Minute Flush (mg/L),Copper 5 minute Flush (mg/L)
17242598,BROOKLYN,11213,09/05/2017,09/08/2017 12:55:39 PM,0.000,0.000,,0.121,0.040,
16230433,NEW YORK,10010,06/17/2017,06/22/2017 02:25:55 PM,0.001,0.000,,0.238,0.029,
17240155,NEW YORK,10017,03/31/2017,04/04/2017 02:47:51 PM,0.001,0.000,,0.039,0.010,
17244760,NEW YORK,10013,10/04/2017,10/13/2017 02:26:30 PM,0.000,0.000,,0.095,0.028,
17241494,BROOKLYN,11210,07/09/2017,07/11/2017 01:14:03 PM,0.002,0.000,,0.080,0.026,
17241297,BROOKLYN,11221,06/19/2017,06/22/2017 02:25:55 PM,0.000,0.000,,0.058,0.133,
17238473,NEW YORK,10128,02/17/2017,03/01/2017 12:00:00 AM,0.000,0.000,,0.067,0.024,
17239950,BRONX,10465,03/26/2017,04/04/2017 02:55:39 PM,0.000,0.000,,0.075,0.009,
17239616,BROOKLYN,11216,06/12/2017,06/15/2017 02:13:29 PM,0.074,0.008,,0.194,0.117,
17240373,BROOKLYN,11216,04/07/2017,04/17/2017 02:56:25 PM,0.000,0.000,,0.201,0.022,
17246280,STATEN ISLAND,10314,12/26/2017,12/27/2017 11:08:20 AM,0.000,0.000,,0.261,0.173,
17239966,NEW YORK,10009,03/24/2017,04/04/2017 02:55:39 PM,0.000,0.000,,0.195,0.010,
17244669,NEW YORK,10016,10/10/2017,10/13/2017 02:26:30 PM,0.000,0.000,,0.058,0.049,
17238171,NEW YORK,10025,03/23/2017,03/28/2017 09:16:30 AM,0.000,0.000,,0.160,0.039,
17245680,NEW YORK,10065,11/21/2017,11/22/2017 01:45:03 PM,0.001,0.000,,0.112,0.023,
17239496,BROOKLYN,11217,03/14/2017,03/21/2017 09:04:58 AM,0.003,0.001,,0.338,0.017,
17246186,NEW YORK,10033,12/29/2017,01/03/2018 11:15:10 AM,0.000,0.000,,0.080,0.014,
17244752,BROOKLYN,11201,10/06/2017,10/10/2017 02:39:43 PM,0.000,0.000,,0.066,0.027,
17241414,NEW YORK,10017,05/13/2017,05/17/2017 03:06:12 PM,0.004,0.000,,0.067,0.017,
17241556,BROOKLYN,11218,05/26/2017,05/30/2017 02:47:55 PM,0.003,0.007,,0.206,0.022,
17239936,NEW YORK,10023,03/24/2017,03/29/2017 03:15:21 PM,0.000,0.000,,0.061,0.015,
